id,nome,nome_completo,ruolo,ruolo_completo,p1,p2,p3,p4,squadra,v1,v2,piede,paese,nascita,foto,m1,m2,m3
5839,Kvaratskhelia,Kvaratskhelia Khvicha,A,A,23,31,23,31,Napoli,159,159,ambidestro,Georgia,12/02/2001 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/KVARATSKHELIA.png?v=50,0,6.13,6.95
4517,Lozano,Lozano Hirving,A,A,11,12,11,12,Napoli,21,23,destro,Messico,30/07/1995 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/LOZANO.png?v=50,1,0.0,0.0
4371,Raspadori,Raspadori Giacomo,A,A,15,10,15,10,Napoli,28,28,ambidestro,Italia,18/02/2000 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/RASPADORI.png?v=50,0,5.97,6.39
4661,Osimhen,Osimhen Victor,A,Pc,29,43,29,43,Napoli,365,365,destro,Nigeria,29/12/1998 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/OSIMHEN.png?v=50,0,6.38,7.77
2061,Simeone,Simeone Giovanni,A,Pc,6,13,6,12,Napoli,24,14,destro,Argentina;Spagna,05/07/1995 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/SIMEONE.png?v=50,0,5.83,6.0
5304,Boer,Boer Pietro,P,Por,1,1,1,1,Roma,1,1,destro,Italia,12/05/2002 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/BOER.png?v=50,0,0.0,0.0
4270,Rui Patricio,Rui Patricio,P,Por,12,14,12,14,Roma,50,50,sinistro,Portogallo,15/02/1988 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/RUI-PATRICIO.png?v=50,0,6.02,4.90
5841,Svilar,Svilar Mile,P,Por,1,1,1,1,Roma,1,1,destro,Serbia;Belgio,27/08/1999 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png?v=50,0,6.0,3.0
4331,Ibanez,Ibanez Roger,D,Dc,7,7,7,7,Roma,13,13,destro,Brasile;Uruguay,23/11/1998 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/IBANEZ.png?v=50,1,0.0,0.0
4495,Kumbulla,Kumbulla Marash,D,Dc,1,3,1,3,Roma,3,3,destro,Albania;Italia,08/02/2000 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/KUMBULLA.png?v=50,0,0.0,0.0
5239,Llorente D.,Llorente Diego,D,Dc,8,6,8,6,Roma,26,26,destro,Spagna,16/08/1993 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/LLORENTE-D.png?v=50,0,5.9,5.85
2296,Mancini,Mancini Gianluca,D,Dc,11,11,11,11,Roma,37,37,destro,Italia,17/04/1996 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/MANCINI.png?v=50,0,5.98,6.14
4317,N'dicka,N'Dicka Evan,D,Dc,5,9,5,9,Roma,23,23,sinistro,Francia;Camerun,20/08/1999 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/NDICKA.png?v=50,0,5.87,5.87
4245,Smalling,Smalling Chris,D,Dc,7,15,7,15,Roma,20,20,destro,Inghilterra,22/11/1989 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/SMALLING.png?v=50,0,5.67,5.67
4657,Celik,Celik Zeki,D,Dd;E,3,3,3,3,Roma,7,5,destro,Turchia,17/02/1997 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/CELIK.png?v=50,0,5.7,5.7
2180,Karsdorp,Karsdorp Rick,D,Dd;E,8,2,8,2,Roma,30,30,destro,Olanda,11/02/1995 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/KARSDORP.png?v=50,0,6.17,6.29
6220,Kristensen,Kristensen Rasmus,D,Dd;E,7,9,7,9,Roma,25,25,destro,Danimarca,11/07/1997 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/KRISTENSEN.png?v=50,0,5.76,5.82
5509,Vina,Vina Matias,D,Ds;E,4,4,4,4,Sassuolo,13,13,sinistro,Uruguay;Italia,09/11/1997 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/VINA.png?v=50,1,5.7,5.6
1852,Spinazzola,Spinazzola Leonardo,D,E,14,10,14,9,Roma,25,25,destro,Italia,25/03/1993 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/SPINAZZOLA.png?v=50,0,6.12,6.44
5422,Zalewski,Zalewski Nicola,C,E,5,8,5,9,Roma,18,18,destro,Polonia,23/01/2002 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/ZALEWSKI.png?v=50,0,5.73,5.7
